Ball count,CTE_pkg_sub_xy,CTE_solder_pkg,CTE_solder_sub_xy,"DieHlfDiagSz, mm",Packag Poisson ratio,"Package Plating (0:None, 1:Ni/Au, )",Solder CTE,Solder Poisson Ratio,Solder Specific Heat J/KgK,Solder Tensile Strength MPa,Solder Thermal conductivity W/mK,Solder Young Module,Solder density,Solder melting temp.,Substrate Poisson ratio,Substrate Thermal Conductivity x-y-direction W/mK,"Substrate thickness, mm","Substratre Plating (0:None, 1:Ni/Au, )","Tmax, °C",Tmean_C,Tmin_C,b_Ag (Wt. % Ag comp. in ball alloy),b_Cu (Wt. % Cu comp. in ball alloy),creep_index,creep_ratio,cycle_mode,fatigue_index,freq_cycle_per_hour,frequency_min_per_cycle,geom_strain_index,p_Ag (Wt. % Ag comp. in paste alloy),p_Cu (Wt. % Cu comp. in paste alloy),pkg_die_ratio,relative_pitch,substrate_thermal_diffusivity_xy,"ΔT, °C",log_life,mean life (cycle)
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,0.1,0.0006990213818156,1,142.9571394557824,,,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,9.03637247266428,8402.238722
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,0.1,0.0006990213818156,1,142.9571394557824,,,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.84944084059221,6969.490265
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,37.5,-25.0,0.0,0.0,112.09999720000006,0.3740095074698029,0,187.6249953125001,1.4999999625000011,40.0,-2244.9094316052465,4.0,0.5,,0.1413427312115316,0.0118799726721424,125.0,8.616395379520842,5520.447756
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,75.0,37.5,0.0,0.0,0.0,84.07499790000004,0.4275362297113425,0,112.57499718750007,1.4999999625000011,40.0,-1346.9456589631482,4.0,0.5,,0.1413427312115316,0.0118799726721424,75.0,9.850086672960906,18958.99805
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,60.0,30.0,0.0,0.0,0.0,24.059999400000017,0.2108307026817105,0,90.05999775000006,1.4999999625000011,40.0,-1077.5565271705186,4.0,0.5,,0.1413427312115316,0.0118799726721424,60.0,10.792202939747588,48639.06922
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,30.0,-40.0,0.0,0.0,40.099999000000025,0.1602461630486427,0,210.1399947500001,1.4999999625000011,40.0,-2514.2985633978765,4.0,0.5,,0.1413427312115316,0.0118799726721424,140.0,8.739080645850965,6241.154323
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,125.0,50.0,-25.0,0.0,0.0,78.24999804687506,0.2579103485281527,0,225.14999437500012,1.4999999625000011,40.0,-2693.8913179262963,4.0,0.5,,0.1413427312115316,0.0118799726721424,150.0,8.075893688756567,3215.000188
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,60.0,10.0,-40.0,0.0,0.0,30.05999900000003,0.1306047961014018,0,200.0999933333336,1.999999933333336,30.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,10.081305940685311,23891.16693
144.0,-17.38,19.88,2.5,4.5254834,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.34,0.12,1.6,1.0,125.0,42.5,-40.0,0.0,0.0,62.62499895833334,0.27492427115251,0,165.16499725000006,0.9999999833333336,60.0,-15198.7766372391,4.0,0.5,1.874999585458741,0.0942808930497473,0.0007489234179059,165.0,7.801801597818278,2444.002924
144.0,-17.38,19.88,2.5,4.5254834,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.34,0.12,1.6,1.0,125.0,42.5,-40.0,0.0,0.0,62.6249985119048,0.2097959821309678,0,235.87928010204092,1.428571394557824,42.0,-15198.7766372391,4.0,0.5,1.874999585458741,0.0942808930497473,0.0007489234179059,165.0,7.900276845827148,2697.029163
