"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle
1.27,22.627417,,100.0,15.0,100.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,1408.0,0,30.0
1.27,22.627417,,100.0,15.0,100.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,1164.0,0,30.0
1.27,22.627417,,100.0,60.0,100.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,1012.0,0,120.0
1.27,22.627417,,100.0,60.0,100.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,982.0,0,120.0
1.27,22.627417,,165.0,21.0,125.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,455.0,0,42.0
1.27,22.627417,,165.0,21.0,125.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,392.0,0,42.0
1.0,24.74873734,9.192388155,100.0,40.0,100.0,0.61,680.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,0.0,4.0,0.0,0.5,0.0,22.5,236.0,62.0,491.15,0.35,40.1,7.4,52.4,14.0,14.0,1000.0,0.8,0.8,200.0,0.19,28.0,2.1,0.0,3534.0,0,80.0
1.0,24.74873734,9.192388155,100.0,70.0,100.0,0.61,680.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,0.0,4.0,0.0,0.5,0.0,22.5,236.0,62.0,491.15,0.35,40.1,7.4,52.4,14.0,14.0,1000.0,0.8,0.8,200.0,0.19,28.0,2.1,0.0,3117.0,0,140.0
1.0,24.74873734,9.192388155,165.0,30.0,125.0,0.61,680.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,0.0,4.0,0.0,0.5,0.0,22.5,236.0,62.0,491.15,0.35,40.1,7.4,52.4,14.0,14.0,1000.0,0.8,0.8,200.0,0.19,28.0,2.1,0.0,1524.0,0,60.0
1.0,24.74873734,9.192388155,100.0,20.0,100.0,0.61,680.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,0.0,4.0,0.0,0.5,0.0,22.5,236.0,62.0,491.15,0.35,40.1,7.4,52.4,14.0,14.0,1000.0,0.8,0.8,200.0,0.19,28.0,2.1,0.0,5344.0,0,40.0
