"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle,log_life,Tmin_C,Tmean_C,period_min_per_cycle,freq_cycle_per_hour,hot_duty_ratio,creep_index,fatigue_index,creep_ratio,fatigue_ratio,CTE_pkg_sub_xy,CTE_solder_sub_xy,CTE_solder_pkg,geom_strain_index,pkg_die_ratio,relative_pitch,solder_thermal_diffusivity,substrate_thermal_diffusivity_xy,solder_effective_E,substrate_effective_E,package_effective_E
1.27,20.50609665,14.8492424,100.0,31.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,3.8,0.7,0.7,22.0,236.0,57.0,492.15,0.34,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,954.0,1,,6.86171134048073,0.0,50.0,,,,0.1,150.0999962500001,0.0006657789735745149,0.9993342143686358,-6.3,8.0,14.3,-5471.76657750953,1.3809522881145582,0.061932797828064566,0.03263857075547493,0.0005784892387779493,48.168195196522845,29.248738455728184,380.1072958427876
1.27,20.50609665,14.8492424,100.0,61.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,3.8,0.7,0.7,22.0,236.0,57.0,492.15,0.34,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,884.0,1,,6.785587645007929,0.0,50.0,,,,0.1,150.0999962500001,0.0006657789735745149,0.9993342143686358,-6.3,8.0,14.3,-5471.76657750953,1.3809522881145582,0.061932797828064566,0.03263857075547493,0.0005784892387779493,48.168195196522845,29.248738455728184,380.1072958427876
1.27,20.50609665,14.8492424,100.0,11.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,1113.0,1,,7.015712420487229,0.0,50.0,,,,0.1,150.0999962500001,0.0006657789735745149,0.9993342143686358,-6.3,6.699999999999999,13.0,-5471.76657750953,1.3809522881145582,0.061932797828064566,0.03392130255818012,0.0005784892387779493,47.794062736600715,29.248738455728184,380.1072958427876
1.27,20.50609665,14.8492424,100.0,31.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,730.0,1,,6.594413459749778,0.0,50.0,,,,0.1,150.0999962500001,0.0006657789735745149,0.9993342143686358,-6.3,6.699999999999999,13.0,-5471.76657750953,1.3809522881145582,0.061932797828064566,0.03392130255818012,0.0005784892387779493,47.794062736600715,29.248738455728184,380.1072958427876
1.27,20.50609665,14.8492424,100.0,61.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,776.0,1,,6.655440350367647,0.0,50.0,,,,0.1,150.0999962500001,0.0006657789735745149,0.9993342143686358,-6.3,6.699999999999999,13.0,-5471.76657750953,1.3809522881145582,0.061932797828064566,0.03392130255818012,0.0005784892387779493,47.794062736600715,29.248738455728184,380.1072958427876
1.27,22.627417,,100.0,15.0,100.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,1408.0,0,30.0,7.25063551189868,0.0,50.0,30.0,1.9999999333333356,0.4999999833333339,50.09999833333338,200.09999333333357,0.20023980736114538,0.7997601886420519,-6.3,8.0,14.3,-6037.811397712835,,0.056126598271177025,0.03263857075547493,0.0005784892387779493,48.546953222845325,29.248738455728184,380.1072958427876
1.27,22.627417,,100.0,15.0,100.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,1164.0,0,30.0,7.060476365999801,0.0,50.0,30.0,1.9999999333333356,0.4999999833333339,50.09999833333338,200.09999333333357,0.20023980736114538,0.7997601886420519,-6.3,8.0,14.3,-6037.811397712835,,0.056126598271177025,0.03263857075547493,0.0005784892387779493,48.546953222845325,29.248738455728184,380.1072958427876
1.27,22.627417,,100.0,60.0,100.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,1012.0,0,120.0,6.920671504248683,0.0,50.0,120.0,0.4999999958333334,0.4999999958333334,50.09999958333333,50.09999958333333,0.49999999500998005,0.49999999500998005,-6.3,8.0,14.3,-6037.811397712835,,0.056126598271177025,0.03263857075547493,0.0005784892387779493,48.546953222845325,29.248738455728184,380.1072958427876
1.27,22.627417,,100.0,60.0,100.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,982.0,0,120.0,6.890609120147166,0.0,50.0,120.0,0.4999999958333334,0.4999999958333334,50.09999958333333,50.09999958333333,0.49999999500998005,0.49999999500998005,-6.3,8.0,14.3,-6037.811397712835,,0.056126598271177025,0.03263857075547493,0.0005784892387779493,48.546953222845325,29.248738455728184,380.1072958427876
1.27,22.627417,,165.0,21.0,125.0,2.36,625.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,0.0,0.7,0.0,22.0,236.0,57.0,492.15,0.35,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,455.0,0,42.0,6.122492809514386,-40.0,42.5,42.0,1.428571394557824,0.49999998809523843,62.6249985119048,235.87928010204095,0.20979598213096787,0.7902040145189964,-6.3,8.0,14.3,-9962.388806226178,,0.056126598271177025,0.03263857075547493,0.0005784892387779493,48.546953222845325,29.248738455728184,380.1072958427876
